method,path,controller,handler,guards,skip_csrf,require_json,step_up,source,source_sha256
PUT,/api/admin/verification/providers/:providerId/config,VerificationProviderController,setProviderConfig,SessionAuthGuard,false,false,false,apps/api/src/verification/verification-provider.controller.ts,4c5c8805e9f501da37f5e0785110b921574df68a5c10e683f7f705b68ef0a3e7
POST,/api/admin/verification/providers/:providerId/reset-circuit-breaker,VerificationProviderController,resetCircuitBreaker,SessionAuthGuard,false,false,false,apps/api/src/verification/verification-provider.controller.ts,4c5c8805e9f501da37f5e0785110b921574df68a5c10e683f7f705b68ef0a3e7
POST,/api/admin/verification/verify,VerificationProviderController,runVerification,SessionAuthGuard,false,false,false,apps/api/src/verification/verification-provider.controller.ts,4c5c8805e9f501da37f5e0785110b921574df68a5c10e683f7f705b68ef0a3e7
GET,/api/admin/wallet/bank-receipt-top-ups,BankReceiptConfirmationController,list,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/bank-receipt-confirmation.controller.ts,721aecdd174d30aa5be061f14332f1531ff7a2212da696e29f6c1acbf3e0b9d4
GET,/api/admin/wallet/bank-receipt-top-ups/:transactionId,BankReceiptConfirmationController,get,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/bank-receipt-confirmation.controller.ts,721aecdd174d30aa5be061f14332f1531ff7a2212da696e29f6c1acbf3e0b9d4
GET,/api/admin/wallet/bank-receipt-top-ups/:transactionId/allocation,BankReceiptConfirmationController,allocation,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/bank-receipt-confirmation.controller.ts,721aecdd174d30aa5be061f14332f1531ff7a2212da696e29f6c1acbf3e0b9d4
POST,/api/admin/wallet/bank-receipt-top-ups/:transactionId/confirm,BankReceiptConfirmationController,confirm,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/bank-receipt-confirmation.controller.ts,721aecdd174d30aa5be061f14332f1531ff7a2212da696e29f6c1acbf3e0b9d4
POST,/api/admin/wallet/bank-receipt-top-ups/:transactionId/reject,BankReceiptConfirmationController,reject,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/bank-receipt-confirmation.controller.ts,721aecdd174d30aa5be061f14332f1531ff7a2212da696e29f6c1acbf3e0b9d4
GET,/api/admin/wallet/chargebacks/unresolved-warning,ChargebackAlertController,unresolvedWarning,SessionAuthGuard,false,false,false,apps/api/src/admin/chargeback-alert.controller.ts,085c655f53422e9a217da8c1b0986430d357e901aa4ed3c849f73e3dd9a50e97
POST,/api/auth/activate-staff,AuthController,activateStaff,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/add-contact,AuthController,addContact,SessionAuthGuard,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/add-contact/send-otp,AuthController,sendAddContactOtp,SessionAuthGuard,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/change-username,AuthController,changeUsername,SessionAuthGuard,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/change-username/send-otp,AuthController,sendChangeUsernameOtp,SessionAuthGuard,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
GET,/api/auth/csrf,PreauthCsrfController,token,,false,false,false,apps/api/src/session/preauth-csrf.controller.ts,db2be409a2a15af3a5655503b0730a6dedf2e5235bce07e6ae8d061c7b72fdc1
POST,/api/auth/force-change-password,AuthController,forceChangePassword,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/forgot-password,AuthController,forgotPassword,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/login,AuthController,login,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/login/resend,AuthController,resendLoginOtp,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/login/verify,AuthController,verifyLoginOtp,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/logout,AuthController,logout,,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/refresh,AuthController,refresh,RefreshCsrfGuard,true,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/register,AuthController,register,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/register/resend,AuthController,resendOtp,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/register/verify,AuthController,verifyOtp,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/reset-password,AuthController,resetPassword,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
POST,/api/auth/reset-password/verify,AuthController,verifyResetOtp,,false,true,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
GET,/api/auth/sessions,SessionController,listSessions,SessionAuthGuard,false,false,false,apps/api/src/session/session.controller.ts,45f3f76a488b79388956dcb80324ac26db567f1c3611ba44199f136739781f3c
DELETE,/api/auth/sessions/:id,SessionController,revokeSession,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/session/session.controller.ts,45f3f76a488b79388956dcb80324ac26db567f1c3611ba44199f136739781f3c
POST,/api/auth/sessions/revoke-all,SessionController,revokeAllSessions,SessionAuthGuard,false,false,false,apps/api/src/session/session.controller.ts,45f3f76a488b79388956dcb80324ac26db567f1c3611ba44199f136739781f3c
POST,/api/auth/step-up,AuthController,stepUp,SessionAuthGuard,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
GET,/api/auth/trusted-devices,TrustedDevicesController,list,SessionAuthGuard,false,false,false,apps/api/src/session/trusted-devices.controller.ts,bcc609aecdeaa52b6d40f877692eb325fffdc8a8be810f805c90e5298759905e
DELETE,/api/auth/trusted-devices/:id,TrustedDevicesController,revoke,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/session/trusted-devices.controller.ts,bcc609aecdeaa52b6d40f877692eb325fffdc8a8be810f805c90e5298759905e
GET,/api/auth/user,AuthController,getUser,SessionAuthGuard,false,false,false,apps/api/src/auth/auth.controller.ts,0b14ae1da4cf5a684138f59e5d651e8f918f714e9fe8f210406ea42eb5a986bd
GET,/api/crm/dashboard/pending-verification,CrmV2Controller,getPendingVerification,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
DELETE,/api/crm/profiles/:profileId,CrmV2Controller,deleteProfile,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
GET,/api/crm/profiles/:profileId,CrmV2Controller,getProfileDetail,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
PUT,/api/crm/profiles/:profileId,CrmV2Controller,updateProfile,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
GET,/api/crm/profiles/:profileId/documents,CrmLegalDocumentsController,read,SessionAuthGuard,false,false,false,apps/api/src/crm/crm-legal-documents.controller.ts,4b749c877ef9c4375968f63f005894b51ac4111bb623059bb78b9fa9e88921de
GET,/api/crm/profiles/:profileId/records/:kind,CrmV2Controller,getProfileRecords,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
GET,/api/crm/profiles/:profileId/verification-cases,VerificationCaseController,listProfileCases,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/crm/verification-case.controller.ts,c8ba3e2ee9323ffeca6276c6e4ff7e641675fda1442610a1be826512bac27722
POST,/api/crm/profiles/:profileId/verification-cases,VerificationCaseController,createCase,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/verification-case.controller.ts,c8ba3e2ee9323ffeca6276c6e4ff7e641675fda1442610a1be826512bac27722
POST,/api/crm/profiles/:profileId/verify,CrmV2Controller,verifyProfile,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
GET,/api/crm/users,CrmController,listUsers,SessionAuthGuard,false,false,false,apps/api/src/crm/crm.controller.ts,8c5458ed839ec829e80ed6a12ede6e8fb7cb6e3b27267f65318c5006feaf1393
POST,/api/crm/users/:userId/expire-sessions,CrmV2Controller,expireSessions,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
POST,/api/crm/users/:userId/force-password-change,CrmV2Controller,forcePasswordChange,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/crm-v2.controller.ts,bd83c7a34f0ecb903cced69c6238d096bf3ed75301e878c782b5f4fcb44391b8
GET,/api/crm/verification-cases,VerificationCaseController,listCases,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/crm/verification-case.controller.ts,c8ba3e2ee9323ffeca6276c6e4ff7e641675fda1442610a1be826512bac27722
GET,/api/crm/verification-cases/:caseId,VerificationCaseController,getCase,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/crm/verification-case.controller.ts,c8ba3e2ee9323ffeca6276c6e4ff7e641675fda1442610a1be826512bac27722
PUT,/api/crm/verification-cases/:caseId/status,VerificationCaseController,reviewCase,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/crm/verification-case.controller.ts,c8ba3e2ee9323ffeca6276c6e4ff7e641675fda1442610a1be826512bac27722
POST,/api/csp-report,CspReportController,report,,false,false,false,apps/api/src/csp-report/csp-report.controller.ts,3b943f859418f6e4af6625c18b7b594ffc724de2405d8f5037261a08711ee28a
GET,/api/dashboard,DashboardController,getDashboard,SessionAuthGuard,false,false,false,apps/api/src/dashboard/dashboard.controller.ts,ae8d15ee7a3470b6aef7475907393102300d3fa2ce4305a501967f2bda5bc584
GET,/api/geography/company-types,GeographyController,getCompanyTypes,SessionAuthGuard,false,false,false,apps/api/src/geography/geography.controller.ts,85fc6db82515c169ed6ffd08ded136afa463db9fdf919fec2d82c57eeac0b743
GET,/api/geography/provinces,GeographyController,getProvinces,SessionAuthGuard,false,false,false,apps/api/src/geography/geography.controller.ts,85fc6db82515c169ed6ffd08ded136afa463db9fdf919fec2d82c57eeac0b743
GET,/api/geography/provinces/:id/cities,GeographyController,getCities,SessionAuthGuard,false,false,false,apps/api/src/geography/geography.controller.ts,85fc6db82515c169ed6ffd08ded136afa463db9fdf919fec2d82c57eeac0b743
GET,/api/health/live,HealthController,liveness,,false,false,false,apps/api/src/health/health.controller.ts,e9f6a4494b73b18d25972007845fddb97dd99f80028058a6462111e7156f0b60
GET,/api/health/ready,HealthController,readiness,,false,false,false,apps/api/src/health/health.controller.ts,e9f6a4494b73b18d25972007845fddb97dd99f80028058a6462111e7156f0b60
POST,/api/invitations/:inviteId/accept,InvitationsController,acceptInvitation,SessionAuthGuard,false,false,false,apps/api/src/profiles/invitations.controller.ts,d7d65ecdaa1bf47938ce28b72bd05704890a66cce80d15a858057079bb09c142
POST,/api/invitations/:inviteId/decline,InvitationsController,declineInvitation,SessionAuthGuard,false,false,false,apps/api/src/profiles/invitations.controller.ts,d7d65ecdaa1bf47938ce28b72bd05704890a66cce80d15a858057079bb09c142
GET,/api/invitations/pending,InvitationsController,listPendingInvitations,SessionAuthGuard,false,false,false,apps/api/src/profiles/invitations.controller.ts,d7d65ecdaa1bf47938ce28b72bd05704890a66cce80d15a858057079bb09c142
GET,/api/invoices,CustomerInvoiceController,list,SessionAuthGuard,false,false,false,apps/api/src/invoice/customer-invoice.controller.ts,98ca34d13202d51ad64102c986a14df92447c491fa51853ec52b2e113cfc3e55
GET,/api/invoices/:invoiceId,CustomerInvoiceController,get,SessionAuthGuard,false,false,false,apps/api/src/invoice/customer-invoice.controller.ts,98ca34d13202d51ad64102c986a14df92447c491fa51853ec52b2e113cfc3e55
POST,/api/invoices/:invoiceId/bank-receipts,CustomerInvoiceController,submitBankReceipt,SessionAuthGuard,false,false,false,apps/api/src/invoice/customer-invoice.controller.ts,98ca34d13202d51ad64102c986a14df92447c491fa51853ec52b2e113cfc3e55
GET,/api/notifications,NotificationsController,findByUser,SessionAuthGuard,false,false,false,apps/api/src/notifications/notifications.controller.ts,83468b9dcb04a0b55435d188227d86d255e804238d4371365f10aa10590e294a
PATCH,/api/notifications/:id/read,NotificationsController,markAsRead,SessionAuthGuard,false,false,false,apps/api/src/notifications/notifications.controller.ts,83468b9dcb04a0b55435d188227d86d255e804238d4371365f10aa10590e294a
POST,/api/notifications/read-all,NotificationsController,markAllAsRead,SessionAuthGuard,false,false,false,apps/api/src/notifications/notifications.controller.ts,83468b9dcb04a0b55435d188227d86d255e804238d4371365f10aa10590e294a
GET,/api/notifications/unread-count,NotificationsController,countUnread,SessionAuthGuard,false,false,false,apps/api/src/notifications/notifications.controller.ts,83468b9dcb04a0b55435d188227d86d255e804238d4371365f10aa10590e294a
POST,/api/onboarding/complete/:profileId,OnboardingController,completeOnboarding,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
GET,/api/onboarding/documents/:profileId,OnboardingController,getDocuments,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
GET,/api/onboarding/draft/:profileId,OnboardingController,getDraft,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
PUT,/api/onboarding/draft/:profileId,OnboardingController,saveDraft,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
POST,/api/onboarding/individual/:profileId,OnboardingController,saveIndividualProfile,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
POST,/api/onboarding/legal/:profileId,OnboardingController,saveLegalProfile,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
POST,/api/onboarding/start,OnboardingController,startOnboarding,SessionAuthGuard,false,false,false,apps/api/src/profiles/onboarding.controller.ts,a049d23a5b72ad621c68fcdfb5a87f4debb588e9497a6e5535d504e28fd88039
GET,/api/orders,OrdersController,listOrders,SessionAuthGuard,false,false,false,apps/api/src/orders/orders.controller.ts,1ee5451a2828fa4713160e93c0d98e5fa1201907a684f0c39ebd32fbf32ef226
POST,/api/orders,OrdersController,createOrder,SessionAuthGuard,false,false,false,apps/api/src/orders/orders.controller.ts,1ee5451a2828fa4713160e93c0d98e5fa1201907a684f0c39ebd32fbf32ef226
GET,/api/orders/:id,OrdersController,getOrder,SessionAuthGuard,false,false,false,apps/api/src/orders/orders.controller.ts,1ee5451a2828fa4713160e93c0d98e5fa1201907a684f0c39ebd32fbf32ef226
POST,/api/orders/:id/cancel,OrdersController,cancelOrder,SessionAuthGuard,false,false,false,apps/api/src/orders/orders.controller.ts,1ee5451a2828fa4713160e93c0d98e5fa1201907a684f0c39ebd32fbf32ef226
